meanRT,RT10prctile,Accuracy,Condition,SubjectID,Subjects_session,Unique_Session,N200amplitudes,N200latencies,RemoveN200,minBETAamplitudes,minBETAlatencies,RemoveminBETA,P300amplitudes,P300latencies,RemoveP300,minRPamplitudes,minRPlatencies,RemoveminRP
0.5946,0.3877,0.54167,6,154,2,24,-0.096384,0.2041,0,-0.053956,0.2048,1,0.076942,0.27539,1,-0.063227,0.00097264,1
0.51529,0.37988,0.74667,1,155,1,25,-0.37341,0.22168,0,-0.068848,0.39523,0,0.039826,0.45312,0,-0.049737,0.069331,0
0.55886,0.43799,0.75641,2,155,1,25,0.0094541,0.22461,0,-0.15675,0.27805,0,0.049708,0.56445,0,-0.06919,0.23241,0
0.59342,0.44902,0.86076,3,155,1,25,-0.26082,0.22168,0,0.16037,0.55148,0,0.058839,0.53809,0,-0.044521,0.084956,0
0.50282,0.4,0.69231,4,155,1,25,-0.24192,0.21777,0,-0.26544,0.2927,0,0.059921,0.53125,0,-0.057009,0.1621,0
0.55022,0.43896,0.825,5,155,1,25,0.0091452,0.21289,0,-0.14923,0.54172,0,0.062307,0.49609,0,-0.062531,0.22948,0
0.70468,0.50049,0.7125,6,155,1,25,0.051592,0.125,1,-0.045044,0.38059,0,0.064692,0.48242,0,-0.05804,0.28808,0
0.49159,0.39736,0.82432,1,155,2,26,-0.095492,0.23242,0,0.078301,0.40988,0,0.02612,0.2959,0,-0.020716,0.17773,0
0.57544,0.44141,0.875,2,155,2,26,-0.12408,0.23438,0,0.043857,0.31711,0,0.051435,0.29395,0,-0.096175,0.2373,0
0.57737,0.44082,0.86076,3,155,2,26,-0.095358,0.22949,0,-0.029136,0.4343,0,0.050906,0.68164,0,-0.062417,0.19824,0
0.46062,0.37578,0.76712,4,155,2,26,-0.10432,0.21582,0,-0.20826,0.32199,0,0.11423,0.29199,0,-0.060918,0.02148,0
0.58499,0.45703,0.9125,5,155,2,26,-0.095549,0.22949,0,-0.23763,0.2341,0,0.051454,0.29004,0,-0.077541,0.012691,0
0.6397,0.50879,0.9,6,155,2,26,-0.10719,0.20605,0,-0.25162,0.39035,0,0.13924,0.29492,0,-0.097097,0.064448,0
0.56075,0.35244,0.52941,1,156,1,27,-0.089344,0.21973,0,-0.059329,0.25852,0,0.069519,0.50684,0,-0.061694,0.097651,0
0.64007,0.36621,0.53333,2,156,1,27,-0.11766,0.21191,0,-0.24258,0.43918,0,0.059234,0.48242,0,-0.084852,0.073237,0
0.54361,0.36934,0.55319,3,156,1,27,-0.12117,0.21289,0,-0.075665,0.23898,0,0.059746,0.49512,0,-0.051625,0.10156,0
0.49973,0.36963,0.62,4,156,1,27,-0.12325,0.20898,0,-0.18379,0.5466,0,0.064899,0.50879,0,-0.09353,0.12402,0
